move_no,by,sr,sc,er,ec,cap,promoted,swap,timestamp
1,WHITE,11,3,9,4,,False,False,2025-11-22T01:13:46.012230Z
2,GREY,3,0,4,2,,False,False,2025-11-22T01:13:47.021301Z
3,BLACK,0,8,2,7,,False,False,2025-11-22T01:13:48.040010Z
4,PINK,3,11,4,9,,False,False,2025-11-22T01:13:49.047015Z
5,WHITE,9,4,7,3,,False,False,2025-11-22T01:13:50.064262Z
6,GREY,4,2,3,4,,False,False,2025-11-22T01:13:51.073391Z
7,BLACK,2,7,4,8,,False,False,2025-11-22T01:13:52.103995Z
8,PINK,4,9,3,7,,False,False,2025-11-22T01:13:53.115220Z
9,WHITE,7,3,5,2,,False,False,2025-11-22T01:13:54.147758Z
10,GREY,6,1,5,2,N,False,False,2025-11-22T01:13:55.167635Z
11,BLACK,4,8,3,10,P,False,False,2025-11-22T01:13:56.185242Z
12,PINK,4,11,3,10,N,False,False,2025-11-22T01:13:57.191319Z
13,WHITE,10,5,9,5,,False,False,2025-11-22T01:13:58.217886Z
14,GREY,8,1,8,3,,False,False,2025-11-22T01:13:59.226059Z
15,BLACK,0,3,2,4,,False,False,2025-11-22T01:14:00.243446Z
16,PINK,3,10,7,6,,False,False,2025-11-22T01:14:01.268439Z
17,WHITE,11,6,8,3,P,False,False,2025-11-22T01:14:02.302810Z
18,GREY,7,1,7,2,,False,False,2025-11-22T01:14:03.292994Z
19,BLACK,2,4,3,6,,False,False,2025-11-22T01:14:04.313356Z
20,PINK,7,6,5,4,,False,False,2025-11-22T01:14:05.309376Z
21,WHITE,8,3,8,5,,False,False,2025-11-22T01:14:06.346465Z
22,GREY,6,0,6,6,,False,False,2025-11-22T01:14:07.372962Z
23,BLACK,3,6,2,4,,False,False,2025-11-22T01:14:08.380287Z
24,PINK,5,4,9,8,,False,False,2025-11-22T01:14:09.406214Z
25,WHITE,8,5,2,11,R,False,False,2025-11-22T01:14:10.422883Z
26,GREY,6,6,6,5,,False,False,2025-11-22T01:14:11.458928Z
27,BLACK,2,4,3,6,,False,False,2025-11-22T01:14:12.479023Z
28,WHITE,2,11,4,9,,False,False,2025-11-22T01:14:13.524812Z
29,GREY,6,5,6,6,,False,False,2025-11-22T01:14:14.578646Z
30,BLACK,3,6,2,4,,False,False,2025-11-22T01:14:15.579703Z
31,WHITE,4,9,4,7,,False,False,2025-11-22T01:14:16.623136Z
32,GREY,6,6,6,8,,False,False,2025-11-22T01:14:17.671161Z
33,BLACK,2,4,3,2,,False,False,2025-11-22T01:14:18.695874Z
34,WHITE,4,7,4,9,,False,False,2025-11-22T01:14:19.751543Z
35,GREY,4,1,3,2,N,False,False,2025-11-22T01:14:20.797633Z
36,BLACK,1,3,2,3,,False,False,2025-11-22T01:14:21.814024Z
37,WHITE,4,9,4,7,,False,False,2025-11-22T01:14:22.864823Z
